#k [h/Mpc]	B(k,z=0.000000)
2.236800	15.054212
2.246220	15.110367
2.255650	15.175934
2.268210	15.261256
2.280780	15.352181
2.290200	15.411259
2.299630	15.482123
2.312190	15.551501
2.324770	15.634923
2.337340	15.728427
2.346760	15.800644
2.356190	15.848474
2.368760	15.942298
2.381320	16.017135
2.393880	16.108550
2.406450	16.181470
2.419020	16.265100
2.428440	16.330297
2.437860	16.384252
2.450430	16.468294
2.463000	16.557808
2.475560	16.624052
2.488130	16.704702
2.500700	16.789532
2.513260	16.880627
2.525830	16.952324
2.538400	17.030299
2.550960	17.117677
2.563530	17.199017
2.576100	17.276977
2.588660	17.357554
2.601220	17.441213
2.613790	17.514882
2.626360	17.585820
2.638930	17.673848
2.651500	17.744823
2.664060	17.830270
2.676630	17.907842
2.689200	17.980880
2.701760	18.059430
2.714320	18.137611
2.730040	18.231598
2.745740	18.333724
2.758320	18.403133
2.770880	18.483993
2.783440	18.557844
2.796010	18.640827
2.808580	18.716996
2.824300	18.801155
2.839990	18.904456
2.852560	18.970580
2.865130	19.054347
2.877690	19.130423
2.893410	19.220663
2.909110	19.302915
2.921680	19.390900
2.937390	19.483132
2.953090	19.569279
2.965650	19.649184
2.978220	19.722124
2.993940	19.807702
3.009630	19.899383
3.022200	19.974051
3.037920	20.072446
3.053620	20.162207
3.069340	20.253753
3.085040	20.342576
3.097610	20.417510
3.113320	20.505997
3.129020	20.591309
3.144730	20.679857
3.160430	20.766686
3.176150	20.861023
3.191850	20.950749
3.204410	21.022095
3.220130	21.107660
3.235840	21.193992
3.251550	21.284700
3.270400	21.395236
3.286100	21.476104
3.301810	21.567954
3.317510	21.652612
3.333230	21.732858
3.348930	21.827533
3.364650	21.903434
3.383500	22.016056
3.399200	22.096876
3.414910	22.191887
3.433760	22.287488
3.449470	22.372396
3.465180	22.451842
3.484020	22.564335
3.499720	22.645446
3.515440	22.725091
3.534290	22.832630
3.553140	22.928069
3.568840	23.025002
3.584560	23.100415
3.603400	23.199408
3.622250	23.302189
3.641110	23.393348
3.656810	23.486032
3.672530	23.559192
3.691370	23.659843
3.710220	23.755889
3.729070	23.858299
3.747920	23.961229
3.766770	24.049313
3.785620	24.146596
3.804470	24.248671
3.823320	24.338292
3.839020	24.429031
3.854740	24.505255
3.873580	24.603922
3.895580	24.711257
3.917570	24.822341
3.936420	24.918775
3.955270	25.013993
3.974110	25.116415
3.992960	25.208075
4.011810	25.299742
4.030660	25.392552
4.049510	25.484375
4.068360	25.581091
4.090360	25.688609
4.112350	25.799537
4.131200	25.884381
4.150040	25.976797
4.168890	26.069379
4.190890	26.177009
4.212870	26.283279
4.231720	26.378089
4.250570	26.471306
4.272570	26.574692
4.294550	26.679990
4.313400	26.774042
4.335410	26.880740
4.357390	26.987149
4.379390	27.090396
4.401370	27.194168
4.420220	27.286785
4.442220	27.390533
4.464200	27.494434
4.486200	27.596279
4.508190	27.703065
4.530180	27.804493
4.552170	27.899422
4.574170	28.003757
4.596150	28.108854
4.618150	28.213484
4.643280	28.329585
4.665270	28.433301
4.687270	28.533241
4.712400	28.642068
4.734380	28.749511
4.756380	28.846769
4.781510	28.960547
4.803500	29.056620
4.825500	29.156899
4.850630	29.267142
4.875760	29.382465
4.897740	29.483351
4.919740	29.580622
4.944870	29.688159
4.970010	29.803728
4.995140	29.914104
5.020270	30.024548
5.045400	30.138969
5.070530	30.246845
5.095660	30.358663
5.117650	30.453189
5.139650	30.548256
5.164790	30.661059
5.193070	30.780680
5.221330	30.901470
5.246460	31.010349
5.271600	31.117892
5.296730	31.225282
5.321860	31.337483
5.347000	31.440755
5.372130	31.549352
5.397260	31.653498
5.425550	31.773030
5.453810	31.889448
5.478950	31.998898
5.504080	32.101352
5.532360	32.218915
5.560630	32.338706
5.585760	32.442490
5.614040	32.559992
5.642310	32.673306
5.667440	32.779613
5.695730	32.892612
5.723990	33.008973
5.752270	33.123686
5.780530	33.233260
5.808810	33.351842
5.837090	33.462557
5.865370	33.576921
5.893630	33.695759
5.921920	33.805974
5.953330	33.931292
